sample,SRRid,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,gender,GEO_Accession (exp),infection,Instrument,LibraryLayout,LibrarySelection,LibrarySource,mouse_id,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,time,condition,create_date,version
sample_25,SRR5364339,8 weeks,RNA-Seq,200,9637470000,PRJNA379959,SAMN06624280,3129450291,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659784,male,GSM2545360,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,6,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545360,"Spinal cord\, Day 8",SRP102241,C57BL/6,Day 8,Spinal cord,2017-03-21T14:26:00Z,1
sample_26,SRR5364340,8 weeks,RNA-Seq,200,9892153600,PRJNA379959,SAMN06624278,3141886722,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659785,male,GSM2545361,Non-Infected,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,7,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545361,"Spinal cord\, Day 0 (Non-Infected)",SRP102241,C57BL/6,Day 0,Spinal cord,2017-03-21T14:27:00Z,1
sample_27,SRR5364341,8 weeks,RNA-Seq,200,10542832000,PRJNA379959,SAMN06624277,3393541611,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659786,female,GSM2545362,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,20,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545362,"Cerebellum\, Day 4",SRP102241,C57BL/6,Day 4,Cerebellum,2017-03-21T15:04:00Z,1
sample_28,SRR5364342,8 weeks,RNA-Seq,200,9862073800,PRJNA379959,SAMN06624276,3114800403,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659787,male,GSM2545363,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,12,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545363,"Cerebellum\, Day 4",SRP102241,C57BL/6,Day 4,Cerebellum,2017-03-21T14:46:00Z,1
sample_29,SRR5364343,8 weeks,RNA-Seq,200,8756883200,PRJNA379959,SAMN06624275,2841125723,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659788,female,GSM2545364,Non-Infected,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,8,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545364,"Spinal cord\, Day 0 (Non-Infected)",SRP102241,C57BL/6,Day 0,Spinal cord,2017-03-21T14:27:00Z,1
sample_30,SRR5364344,8 weeks,RNA-Seq,200,8172883800,PRJNA379959,SAMN06624274,2623861454,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659789,female,GSM2545365,Non-Infected,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,9,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545365,"Spinal cord\, Day 0 (Non-Infected)",SRP102241,C57BL/6,Day 0,Spinal cord,2017-03-21T14:28:00Z,1
sample_31,SRR5364345,8 weeks,RNA-Seq,200,8702499800,PRJNA379959,SAMN06624273,2795801059,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659790,female,GSM2545366,Non-Infected,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,10,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545366,"Spinal cord\, Day 0 (Non-Infected)",SRP102241,C57BL/6,Day 0,Spinal cord,2017-03-21T14:24:00Z,1
sample_32,SRR5364346,8 weeks,RNA-Seq,200,11687486600,PRJNA379959,SAMN06624272,3745427469,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659791,male,GSM2545367,Non-Infected,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,11,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545367,"Spinal cord\, Day 4",SRP102241,C57BL/6,Day 0,Spinal cord,2017-03-21T14:33:00Z,1
sample_33,SRR5364347,8 weeks,RNA-Seq,200,9573952400,PRJNA379959,SAMN06624271,3063169982,GEO,public,"fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659792,male,GSM2545368,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,12,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545368,"Spinal cord\, Day 4",SRP102241,C57BL/6,Day 4,Spinal cord,,
sample_34,SRR5364348,8 weeks,RNA-Seq,200,8026110200,PRJNA379959,SAMN06624270,2568610499,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659793,male,GSM2545369,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,13,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545369,"Spinal cord\, Day 4",SRP102241,C57BL/6,Day 4,Spinal cord,2017-03-21T14:35:00Z,1
